# Time-averaged data for fix energy_flux
# TimeStep f_11 f_12
435000 -6.73094 5.7395
436000 -5.77446 6.11338
437000 -5.14054 6.41655
438000 -5.3789 7.16187
439000 -5.84755 6.62182
440000 -5.83338 5.78755
441000 -5.65111 5.59226
442000 -6.63216 5.86241
443000 -6.05847 5.666
444000 -6.582 6.40823
445000 -6.29707 7.35143
446000 -6.4443 6.53378
447000 -7.07716 6.66962
448000 -6.84318 6.6412
449000 -5.85625 7.05767
450000 -5.78527 7.31357
451000 -5.55382 7.32739
452000 -5.24123 7.70091
453000 -4.7921 8.65597
454000 -4.59447 8.28246
455000 -5.64888 7.82246
456000 -4.66088 7.42164
457000 -4.15556 7.67074
458000 -4.79246 8.55597
459000 -4.84188 8.9741
460000 -5.37431 8.36594
461000 -4.99345 8.42194
462000 -4.61897 7.84049
463000 -4.78499 8.48398
464000 -3.97807 8.06533
465000 -4.69196 8.51445
466000 -4.76226 9.00677
467000 -5.23939 9.86737
468000 -4.9399 10.511
469000 -4.82839 10.956
470000 -4.9095 9.47915
471000 -4.33587 8.90297
472000 -4.57562 8.81
473000 -4.44824 7.97778
474000 -5.7856 7.02328
475000 -5.18418 7.3973
476000 -5.58645 7.46942
477000 -5.76582 6.8495
478000 -5.71691 7.87279
479000 -4.73021 6.32851
480000 -5.25104 6.28943
481000 -5.38487 6.07548
482000 -5.15564 5.40726
483000 -5.24138 5.95345
484000 -5.89522 6.81186
485000 -5.6085 7.02912
486000 -5.74582 6.46769
487000 -5.65155 5.95952
488000 -5.38093 6.18403
489000 -6.00042 5.62727
490000 -6.73305 6.08617
491000 -6.25925 6.76488
492000 -5.38107 6.09822
493000 -5.26387 5.24432
494000 -5.01918 5.46905
495000 -4.89688 5.21199
496000 -5.11823 5.30991
497000 -4.76847 5.09968
498000 -4.09897 5.93606
499000 -4.72105 5.40917
500000 -4.48628 5.30619
501000 -4.68702 5.91762
502000 -5.13151 5.58066
503000 -4.82062 6.1486
504000 -5.28289 6.29418
505000 -5.84696 6.40808
506000 -5.55252 7.15625
507000 -5.4937 6.42997
508000 -5.83437 6.42993
509000 -5.21314 7.01801
510000 -5.75464 6.88731
511000 -6.59249 6.41214
512000 -7.44608 6.59789
513000 -7.43165 6.13033
514000 -6.75244 5.87006
515000 -7.6213 6.23341
516000 -7.08042 6.26681
517000 -5.90562 6.17153
518000 -6.93942 6.44029
519000 -6.41664 6.99514
520000 -6.2998 6.65606
521000 -7.27487 5.6926
522000 -7.13329 5.42969
523000 -6.90882 5.75428
524000 -6.76147 5.72838
525000 -6.72282 5.90423
526000 -7.36128 6.40283
527000 -6.7116 6.79551
528000 -6.95963 6.72905
529000 -7.36353 6.52397
530000 -7.11535 7.42919
531000 -7.07183 6.71604
532000 -7.13088 6.85988
533000 -7.56256 6.33728
534000 -7.34129 6.52012
535000 -7.37778 6.29787
536000 -6.99458 7.37199
537000 -7.78497 6.76526
538000 -7.36742 6.20235
539000 -7.07023 6.46893
540000 -7.60757 6.91936
541000 -7.1241 6.51508
542000 -7.09337 6.4063
543000 -7.29594 6.72099
544000 -7.15561 5.39529
545000 -7.80309 5.96715
546000 -7.50806 7.03156
547000 -7.25261 6.54836
548000 -6.63969 6.09136
549000 -6.03407 5.48421
550000 -5.953 5.59423
551000 -5.02395 6.73492
552000 -6.29854 7.04546
553000 -6.85655 6.39363
554000 -6.41231 7.02927
555000 -6.18804 6.04378
556000 -5.58194 6.10183
557000 -5.8009 6.14031
558000 -5.48969 5.96814
559000 -6.02909 6.13779
560000 -6.36283 6.09296
561000 -6.25061 5.41095
562000 -6.41234 4.66618
563000 -6.1085 4.89696
564000 -5.81844 4.66606
565000 -5.75249 4.66928
566000 -5.83148 3.79011
567000 -5.28821 4.50897
568000 -6.27489 4.97678
569000 -6.34869 5.20235
570000 -6.07745 5.79155
571000 -5.92495 6.18104
572000 -5.81828 6.19718
573000 -5.97339 6.83043
574000 -6.62496 6.21701
575000 -7.06052 6.32568
576000 -6.69723 6.53908
577000 -6.21672 5.43708
578000 -5.9658 5.35993
579000 -5.69987 5.72455
580000 -5.60126 6.11344
581000 -7.22422 6.25209
582000 -7.18374 5.65054
583000 -6.54621 5.65361
584000 -6.66228 6.1316
585000 -6.34896 7.06098
586000 -6.52861 6.80724
587000 -7.40412 6.26532
588000 -7.46184 7.32936
589000 -7.84194 7.19858
590000 -7.83185 7.37043
591000 -7.01387 5.6493
592000 -6.47116 5.66403
593000 -6.60156 6.13138
594000 -6.94574 5.64921
595000 -7.19686 6.12666
596000 -7.18171 7.1406
597000 -6.86136 7.69491
598000 -7.12658 7.6364
599000 -7.20692 7.58071
600000 -7.90167 8.04043
601000 -8.8891 8.39707
602000 -7.63273 7.50224
603000 -8.11954 7.91811
604000 -7.76024 8.11916
605000 -8.0943 8.03631
606000 -8.72644 8.87856
607000 -8.31735 8.35624
608000 -8.08206 8.05709
609000 -9.00686 7.50412
610000 -8.91188 7.36804
611000 -8.69692 7.55511
612000 -8.22147 8.66498
613000 -9.37116 8.65051
614000 -9.67963 8.40483
615000 -10.1807 9.1264
616000 -9.44473 8.07807
617000 -9.39008 8.72004
618000 -10.4775 8.44592
619000 -10.303 8.06563
620000 -9.84195 8.9318
621000 -9.81427 8.18618
622000 -9.97522 7.04924
623000 -9.35452 7.29544
624000 -8.62258 7.39782
625000 -8.30197 8.18515
626000 -8.27741 8.91448
627000 -8.2198 8.83009
628000 -7.96292 9.36411
629000 -8.70771 9.56046
630000 -9.22207 10.5859
631000 -9.45843 9.68288
632000 -9.52793 10.7939
633000 -8.99602 9.60025
634000 -9.41427 9.50096
635000 -9.73832 8.66837
636000 -10.6151 8.52765
637000 -10.2753 9.01214
638000 -10.3863 10.6013
639000 -9.18607 10.7166
640000 -9.35675 11.4234
641000 -9.17687 10.8106
642000 -8.2251 9.9896
643000 -8.51477 9.78792
644000 -8.5677 8.83318
645000 -8.31328 9.65895
646000 -8.92812 9.50775
647000 -7.64475 9.89831
648000 -8.37736 10.2327
649000 -7.82926 9.17954
650000 -8.0921 9.91237
651000 -8.21588 10.1753
652000 -8.71023 9.56873
653000 -8.83222 9.24055
654000 -8.44873 8.45709
655000 -7.95724 9.19567
656000 -7.76462 9.79014
657000 -8.05568 9.72006
658000 -7.70367 8.94942
659000 -7.17674 8.77705
660000 -8.0412 9.41298
661000 -8.1519 9.69954
662000 -8.30331 9.81978
663000 -7.90349 10.7916
664000 -8.01486 10.1512
665000 -8.12549 9.87248
666000 -8.14798 9.74318
667000 -7.88245 10.1272
668000 -8.12058 9.36683
669000 -8.13406 9.23884
670000 -7.51105 9.14948
671000 -7.82989 8.7854
672000 -8.35738 9.14805
673000 -7.42953 9.77361
674000 -7.57696 9.21617
675000 -8.20533 8.34732
676000 -8.34423 7.78879
677000 -8.46695 8.24924
678000 -9.19836 9.29862
679000 -9.55698 9.28609
680000 -10.3133 9.23957
681000 -9.842 8.79673
682000 -10.784 8.11027
683000 -10.5014 8.04403
684000 -10.4477 7.30099
685000 -10.387 6.63451
686000 -10.8833 6.6219
687000 -10.2795 6.69261
688000 -9.29443 7.58807
689000 -9.97302 7.3888
690000 -10.733 7.73151
691000 -10.374 6.70047
692000 -9.85334 7.4884
693000 -9.54305 8.28165
694000 -9.15061 8.50453
695000 -8.54563 8.39675
696000 -8.62822 9.02405
697000 -8.34067 9.42296
698000 -8.75063 9.09108
699000 -9.57194 8.88318
700000 -9.74157 8.8288
